normalized_title,original_title,details,authors
tribler/tribler: v7.11.0-rc1,Tribler/tribler: V7.11.0-RC1,doi_________::4cb508ecb617b5bcd4ca0cdfeb1db9b5 | Zenodo | 2021-12-01,"[{'fullName': 'Martijn de Vos', 'name': None, 'surname': 'Martijn de Vos', 'rank': 1, 'pid': None}, {'fullName': 'Lipu Fei', 'name': None, 'surname': 'Lipu Fei', 'rank': 2, 'pid': None}, {'fullName': 'Niels Zeilemaker', 'name': None, 'surname': 'Niels Zeilemaker', 'rank': 3, 'pid': None}, {'fullName': 'Egbert Bouman', 'name': None, 'surname': 'Egbert Bouman', 'rank': 4, 'pid': None}, {'fullName': 'Vadim Bulavintsev', 'name': None, 'surname': 'Vadim Bulavintsev', 'rank': 5, 'pid': None}, {'fullName': 'S. Pan', 'name': 'S.', 'surname': 'S. Pan', 'rank': 6, 'pid': None}, {'fullName': 'Elric Milon', 'name': None, 'surname': 'Elric Milon', 'rank': 7, 'pid': None}, {'fullName': 'Andrei Andreev', 'name': None, 'surname': 'Andrei Andreev', 'rank': 8, 'pid': None}, {'fullName': 'Quinten Stokkink', 'name': None, 'surname': 'Quinten Stokkink', 'rank': 9, 'pid': None}, {'fullName': 'Boudewijn', 'name': None, 'surname': 'Boudewijn', 'rank': 10, 'pid': None}, {'fullName': 'Alexander Kozlovsky', 'name': None, 'surname': 'Alexander Kozlovsky', 'rank': 11, 'pid': None}, {'fullName': 'Christian Clauss', 'name': None, 'surname': 'Christian Clauss', 'rank': 12, 'pid': None}, {'fullName': 'Laurens Versluis', 'name': None, 'surname': 'Laurens Versluis', 'rank': 13, 'pid': None}, {'fullName': 'Rob Ruigrok', 'name': None, 'surname': 'Rob Ruigrok', 'rank': 14, 'pid': None}, {'fullName': 'Paul Brussee', 'name': None, 'surname': 'Paul Brussee', 'rank': 15, 'pid': None}, {'fullName': 'Chris Tanaskoski', 'name': None, 'surname': 'Chris Tanaskoski', 'rank': 16, 'pid': None}, {'fullName': 'Ardhi Putra Pratama', 'name': None, 'surname': 'Ardhi Putra Pratama', 'rank': 17, 'pid': None}, {'fullName': 'Captain-Coder', 'name': None, 'surname': 'Captain-Coder', 'rank': 18, 'pid': None}, {'fullName': 'Pim Veldhuisen', 'name': None, 'surname': 'Pim Veldhuisen', 'rank': 19, 'pid': None}, {'fullName': 'Johan Pouwelse', 'name': None, 'surname': 'Johan Pouwelse', 'rank': 20, 'pid': None}, {'fullName': 'Bulat Nasrulin', 'name': None, 'surname': 'Bulat Nasrulin', 'rank': 21, 'pid': None}, {'fullName': 'Rutger', 'name': None, 'surname': 'Rutger', 'rank': 22, 'pid': None}, {'fullName': 'Solomon1732', 'name': None, 'surname': 'Solomon1732', 'rank': 23, 'pid': None}, {'fullName': 'JeffGoderie', 'name': None, 'surname': 'JeffGoderie', 'rank': 24, 'pid': None}, {'fullName': 'Riccardo Petrocco', 'name': None, 'surname': 'Riccardo Petrocco', 'rank': 25, 'pid': None}, {'fullName': 'wtud', 'name': None, 'surname': 'wtud', 'rank': 26, 'pid': None}, {'fullName': 'Steffan Norberhuis', 'name': None, 'surname': 'Steffan Norberhuis', 'rank': 27, 'pid': None}, {'fullName': 'António Fraga', 'name': None, 'surname': 'António Fraga', 'rank': 28, 'pid': None}, {'fullName': 'PetervB', 'name': None, 'surname': 'PetervB', 'rank': 29, 'pid': None}, {'fullName': 'Daniel Aleksandersen', 'name': None, 'surname': 'Daniel Aleksandersen', 'rank': 30, 'pid': None}]"
tribler/tribler: v7.11.0-rc1,Tribler/tribler: V7.11.0-RC1,doi_________::313b65b3e1ac1eec88047c8b40285aaf | Zenodo | 2021-11-30,"[{'fullName': 'Martijn de Vos', 'name': None, 'surname': 'Martijn de Vos', 'rank': 1, 'pid': None}, {'fullName': 'Lipu Fei', 'name': None, 'surname': 'Lipu Fei', 'rank': 2, 'pid': None}, {'fullName': 'Niels Zeilemaker', 'name': None, 'surname': 'Niels Zeilemaker', 'rank': 3, 'pid': None}, {'fullName': 'Egbert Bouman', 'name': None, 'surname': 'Egbert Bouman', 'rank': 4, 'pid': None}, {'fullName': 'Vadim Bulavintsev', 'name': None, 'surname': 'Vadim Bulavintsev', 'rank': 5, 'pid': None}, {'fullName': 'S. Pan', 'name': 'S.', 'surname': 'S. Pan', 'rank': 6, 'pid': None}, {'fullName': 'Elric Milon', 'name': None, 'surname': 'Elric Milon', 'rank': 7, 'pid': None}, {'fullName': 'Andrei Andreev', 'name': None, 'surname': 'Andrei Andreev', 'rank': 8, 'pid': None}, {'fullName': 'Quinten Stokkink', 'name': None, 'surname': 'Quinten Stokkink', 'rank': 9, 'pid': None}, {'fullName': 'Boudewijn', 'name': None, 'surname': 'Boudewijn', 'rank': 10, 'pid': None}, {'fullName': 'Alexander Kozlovsky', 'name': None, 'surname': 'Alexander Kozlovsky', 'rank': 11, 'pid': None}, {'fullName': 'Christian Clauss', 'name': None, 'surname': 'Christian Clauss', 'rank': 12, 'pid': None}, {'fullName': 'Laurens Versluis', 'name': None, 'surname': 'Laurens Versluis', 'rank': 13, 'pid': None}, {'fullName': 'Rob Ruigrok', 'name': None, 'surname': 'Rob Ruigrok', 'rank': 14, 'pid': None}, {'fullName': 'Paul Brussee', 'name': None, 'surname': 'Paul Brussee', 'rank': 15, 'pid': None}, {'fullName': 'Chris Tanaskoski', 'name': None, 'surname': 'Chris Tanaskoski', 'rank': 16, 'pid': None}, {'fullName': 'Ardhi Putra Pratama', 'name': None, 'surname': 'Ardhi Putra Pratama', 'rank': 17, 'pid': None}, {'fullName': 'Captain-Coder', 'name': None, 'surname': 'Captain-Coder', 'rank': 18, 'pid': None}, {'fullName': 'Pim Veldhuisen', 'name': None, 'surname': 'Pim Veldhuisen', 'rank': 19, 'pid': None}, {'fullName': 'Johan Pouwelse', 'name': None, 'surname': 'Johan Pouwelse', 'rank': 20, 'pid': None}, {'fullName': 'Bulat Nasrulin', 'name': None, 'surname': 'Bulat Nasrulin', 'rank': 21, 'pid': None}, {'fullName': 'Rutger', 'name': None, 'surname': 'Rutger', 'rank': 22, 'pid': None}, {'fullName': 'Solomon1732', 'name': None, 'surname': 'Solomon1732', 'rank': 23, 'pid': None}, {'fullName': 'JeffGoderie', 'name': None, 'surname': 'JeffGoderie', 'rank': 24, 'pid': None}, {'fullName': 'Riccardo Petrocco', 'name': None, 'surname': 'Riccardo Petrocco', 'rank': 25, 'pid': None}, {'fullName': 'wtud', 'name': None, 'surname': 'wtud', 'rank': 26, 'pid': None}, {'fullName': 'Steffan Norberhuis', 'name': None, 'surname': 'Steffan Norberhuis', 'rank': 27, 'pid': None}, {'fullName': 'António Fraga', 'name': None, 'surname': 'António Fraga', 'rank': 28, 'pid': None}, {'fullName': 'PetervB', 'name': None, 'surname': 'PetervB', 'rank': 29, 'pid': None}, {'fullName': 'Daniel Aleksandersen', 'name': None, 'surname': 'Daniel Aleksandersen', 'rank': 30, 'pid': None}]"
,,,
spicypy,Spicypy,doi_________::1dbac91200a6ef6ba6f1b6fcf9b4375d | Zenodo | 2023-10-23,"[{'fullName': 'Basalaev, Artem', 'name': 'Artem', 'surname': 'Basalaev', 'rank': 1, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0001-5623-2853'}, 'provenance': None}}, {'fullName': 'Darsow-Fromm, Christian', 'name': 'Christian', 'surname': 'Darsow-Fromm', 'rank': 2, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-9602-0388'}, 'provenance': None}}, {'fullName': 'Gerberding, Oliver', 'name': 'Oliver', 'surname': 'Gerberding', 'rank': 3, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0001-7740-2698'}, 'provenance': None}}, {'fullName': 'Hewitson, Martin', 'name': 'Martin', 'surname': 'Hewitson', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4280-2979'}, 'provenance': None}}, {'fullName': 'Patra, Abhinav', 'name': 'Abhinav', 'surname': 'Patra', 'rank': 5, 'pid': None}, {'fullName': 'Mow-Lowry, Conor', 'name': 'Conor', 'surname': 'Mow-Lowry', 'rank': 6, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-0351-4555'}, 'provenance': None}}, {'fullName': 'Voigt, Daniel', 'name': 'Daniel', 'surname': 'Voigt', 'rank': 7, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-9075-6503'}, 'provenance': None}}, {'fullName': 'Holland, Nathan', 'name': 'Nathan', 'surname': 'Holland', 'rank': 8, 'pid': None}, {'fullName': 'Göbbels, Nils Leander', 'name': 'Nils Leander', 'surname': 'Göbbels', 'rank': 9, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-3923-5806'}, 'provenance': None}}, {'fullName': 'Vega, Octavio', 'name': 'Octavio', 'surname': 'Vega', 'rank': 10, 'pid': None}, {'fullName': 'Saffarieh, Pooya', 'name': 'Pooya', 'surname': 'Saffarieh', 'rank': 11, 'pid': None}, {'fullName': 'Bania, Saurav', 'name': 'Saurav', 'surname': 'Bania', 'rank': 12, 'pid': None}, {'fullName': 'Chalathadka Subrahmanya, Shreevathsa', 'name': 'Shreevathsa', 'surname': 'Chalathadka Subrahmanya', 'rank': 13, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0002-9207-4669'}, 'provenance': None}}]"
spicypy,Spicypy,doi_dedup___::04f15537152ba49d4f4ee44853a8a1bc | Zenodo | 2024-10-17,"[{'fullName': 'Basalaev, Artem', 'name': 'Artem', 'surname': 'Basalaev', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-5623-2853'}, 'provenance': None}}, {'fullName': 'Darsow-Fromm, Christian', 'name': 'Christian', 'surname': 'Darsow-Fromm', 'rank': 2, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-9602-0388'}, 'provenance': None}}, {'fullName': 'Gerberding, Oliver', 'name': 'Oliver', 'surname': 'Gerberding', 'rank': 3, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0001-7740-2698'}, 'provenance': None}}, {'fullName': 'Hewitson, Martin', 'name': 'Martin', 'surname': 'Hewitson', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4280-2979'}, 'provenance': None}}, {'fullName': 'Patra, Abhinav', 'name': 'Abhinav', 'surname': 'Patra', 'rank': 5, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0009-0009-2006-8911'}, 'provenance': None}}, {'fullName': 'Mow-Lowry, Conor', 'name': 'Conor', 'surname': 'Mow-Lowry', 'rank': 6, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-0351-4555'}, 'provenance': None}}, {'fullName': 'Voigt, Daniel', 'name': 'Daniel', 'surname': 'Voigt', 'rank': 7, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-9075-6503'}, 'provenance': None}}, {'fullName': 'Perry, Jonathan', 'name': 'Jonathan', 'surname': 'Perry', 'rank': 8, 'pid': None}, {'fullName': 'Holland, Nathan', 'name': 'Nathan', 'surname': 'Holland', 'rank': 9, 'pid': None}, {'fullName': 'Weickhardt, Nils Leander', 'name': 'Nils Leander', 'surname': 'Weickhardt', 'rank': 10, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-3923-5806'}, 'provenance': None}}, {'fullName': 'Vega, Octavio', 'name': 'Octavio', 'surname': 'Vega', 'rank': 11, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-4360-8126'}, 'provenance': None}}, {'fullName': 'Saffarieh, Pooya', 'name': 'Pooya', 'surname': 'Saffarieh', 'rank': 12, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0009-0000-7504-3660'}, 'provenance': None}}, {'fullName': 'Bania, Saurav', 'name': 'Saurav', 'surname': 'Bania', 'rank': 13, 'pid': None}, {'fullName': 'Chalathadka Subrahmanya, Shreevathsa', 'name': 'Shreevathsa', 'surname': 'Chalathadka Subrahmanya', 'rank': 14, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-9207-4669'}, 'provenance': None}}]"
,,,
tribler/tribler: v7.14.0,Tribler/tribler: v7.14.0,doi_________::0daa83eb5b3c181e7a809037566ee30b | Zenodo | 2024-04-24,"[{'fullName': 'Martijn de Vos', 'name': None, 'surname': 'Martijn de Vos', 'rank': 1, 'pid': None}, {'fullName': 'Andrei Andreev', 'name': None, 'surname': 'Andrei Andreev', 'rank': 2, 'pid': None}, {'fullName': 'Lipu Fei', 'name': None, 'surname': 'Lipu Fei', 'rank': 3, 'pid': None}, {'fullName': 'Niels Zeilemaker', 'name': None, 'surname': 'Niels Zeilemaker', 'rank': 4, 'pid': None}, {'fullName': 'Egbert Bouman', 'name': None, 'surname': 'Egbert Bouman', 'rank': 5, 'pid': None}, {'fullName': 'S. Pan', 'name': 'S.', 'surname': 'S. Pan', 'rank': 6, 'pid': None}, {'fullName': 'Vadim Bulavintsev', 'name': None, 'surname': 'Vadim Bulavintsev', 'rank': 7, 'pid': None}, {'fullName': 'Alexander Kozlovsky', 'name': None, 'surname': 'Alexander Kozlovsky', 'rank': 8, 'pid': None}, {'fullName': 'Elric Milon', 'name': None, 'surname': 'Elric Milon', 'rank': 9, 'pid': None}, {'fullName': 'Quinten Stokkink', 'name': None, 'surname': 'Quinten Stokkink', 'rank': 10, 'pid': None}, {'fullName': 'Boudewijn', 'name': None, 'surname': 'Boudewijn', 'rank': 11, 'pid': None}, {'fullName': 'Christian Clauss', 'name': None, 'surname': 'Christian Clauss', 'rank': 12, 'pid': None}, {'fullName': 'Laurens Versluis', 'name': None, 'surname': 'Laurens Versluis', 'rank': 13, 'pid': None}, {'fullName': 'Rob Ruigrok', 'name': None, 'surname': 'Rob Ruigrok', 'rank': 14, 'pid': None}, {'fullName': 'Paul Brussee', 'name': None, 'surname': 'Paul Brussee', 'rank': 15, 'pid': None}, {'fullName': 'Chris Tanaskoski', 'name': None, 'surname': 'Chris Tanaskoski', 'rank': 16, 'pid': None}, {'fullName': 'Ardhi Putra Pratama', 'name': None, 'surname': 'Ardhi Putra Pratama', 'rank': 17, 'pid': None}, {'fullName': 'Captain-Coder', 'name': None, 'surname': 'Captain-Coder', 'rank': 18, 'pid': None}, {'fullName': 'Pim Veldhuisen', 'name': None, 'surname': 'Pim Veldhuisen', 'rank': 19, 'pid': None}, {'fullName': 'Bulat Nasrulin', 'name': None, 'surname': 'Bulat Nasrulin', 'rank': 20, 'pid': None}, {'fullName': 'Johan Pouwelse', 'name': None, 'surname': 'Johan Pouwelse', 'rank': 21, 'pid': None}, {'fullName': 'Solomon1732', 'name': None, 'surname': 'Solomon1732', 'rank': 22, 'pid': None}, {'fullName': 'Rutger', 'name': None, 'surname': 'Rutger', 'rank': 23, 'pid': None}, {'fullName': 'JeffGoderie', 'name': None, 'surname': 'JeffGoderie', 'rank': 24, 'pid': None}, {'fullName': 'Riccardo Petrocco', 'name': None, 'surname': 'Riccardo Petrocco', 'rank': 25, 'pid': None}, {'fullName': 'Snyk bot', 'name': None, 'surname': 'Snyk bot', 'rank': 26, 'pid': None}, {'fullName': 'wtud', 'name': None, 'surname': 'wtud', 'rank': 27, 'pid': None}, {'fullName': 'Steffan Norberhuis', 'name': None, 'surname': 'Steffan Norberhuis', 'rank': 28, 'pid': None}, {'fullName': 'António Fraga', 'name': None, 'surname': 'António Fraga', 'rank': 29, 'pid': None}]"
tribler/tribler: v7.14.0,Tribler/tribler: v7.14.0,doi_________::d75eb9ddee8210ed1a506f65295cbbb4 | Zenodo | 2024-04-24,"[{'fullName': 'Martijn de Vos', 'name': None, 'surname': 'Martijn de Vos', 'rank': 1, 'pid': None}, {'fullName': 'Andrei Andreev', 'name': None, 'surname': 'Andrei Andreev', 'rank': 2, 'pid': None}, {'fullName': 'Lipu Fei', 'name': None, 'surname': 'Lipu Fei', 'rank': 3, 'pid': None}, {'fullName': 'Niels Zeilemaker', 'name': None, 'surname': 'Niels Zeilemaker', 'rank': 4, 'pid': None}, {'fullName': 'Egbert Bouman', 'name': None, 'surname': 'Egbert Bouman', 'rank': 5, 'pid': None}, {'fullName': 'S. Pan', 'name': None, 'surname': 'S. Pan', 'rank': 6, 'pid': None}, {'fullName': 'Vadim Bulavintsev', 'name': None, 'surname': 'Vadim Bulavintsev', 'rank': 7, 'pid': None}, {'fullName': 'Alexander Kozlovsky', 'name': None, 'surname': 'Alexander Kozlovsky', 'rank': 8, 'pid': None}, {'fullName': 'Elric Milon', 'name': None, 'surname': 'Elric Milon', 'rank': 9, 'pid': None}, {'fullName': 'Quinten Stokkink', 'name': None, 'surname': 'Quinten Stokkink', 'rank': 10, 'pid': None}, {'fullName': 'Boudewijn', 'name': None, 'surname': 'Boudewijn', 'rank': 11, 'pid': None}, {'fullName': 'Christian Clauss', 'name': None, 'surname': 'Christian Clauss', 'rank': 12, 'pid': None}, {'fullName': 'Laurens Versluis', 'name': None, 'surname': 'Laurens Versluis', 'rank': 13, 'pid': None}, {'fullName': 'Rob Ruigrok', 'name': None, 'surname': 'Rob Ruigrok', 'rank': 14, 'pid': None}, {'fullName': 'Paul Brussee', 'name': None, 'surname': 'Paul Brussee', 'rank': 15, 'pid': None}, {'fullName': 'Chris Tanaskoski', 'name': None, 'surname': 'Chris Tanaskoski', 'rank': 16, 'pid': None}, {'fullName': 'Ardhi Putra Pratama', 'name': None, 'surname': 'Ardhi Putra Pratama', 'rank': 17, 'pid': None}, {'fullName': 'Captain-Coder', 'name': None, 'surname': 'Captain-Coder', 'rank': 18, 'pid': None}, {'fullName': 'Pim Veldhuisen', 'name': None, 'surname': 'Pim Veldhuisen', 'rank': 19, 'pid': None}, {'fullName': 'Bulat Nasrulin', 'name': None, 'surname': 'Bulat Nasrulin', 'rank': 20, 'pid': None}, {'fullName': 'Johan Pouwelse', 'name': None, 'surname': 'Johan Pouwelse', 'rank': 21, 'pid': None}, {'fullName': 'Solomon1732', 'name': None, 'surname': 'Solomon1732', 'rank': 22, 'pid': None}, {'fullName': 'Rutger', 'name': None, 'surname': 'Rutger', 'rank': 23, 'pid': None}, {'fullName': 'JeffGoderie', 'name': None, 'surname': 'JeffGoderie', 'rank': 24, 'pid': None}, {'fullName': 'Riccardo Petrocco', 'name': None, 'surname': 'Riccardo Petrocco', 'rank': 25, 'pid': None}, {'fullName': 'Snyk bot', 'name': None, 'surname': 'Snyk bot', 'rank': 26, 'pid': None}, {'fullName': 'wtud', 'name': None, 'surname': 'wtud', 'rank': 27, 'pid': None}, {'fullName': 'Steffan Norberhuis', 'name': None, 'surname': 'Steffan Norberhuis', 'rank': 28, 'pid': None}, {'fullName': 'António Fraga', 'name': None, 'surname': 'António Fraga', 'rank': 29, 'pid': None}]"
,,,
metadraft release: 0.9.5,MetaDraft Release: 0.9.5,doi_________::e6bec1cbe3e2841e1d234e4b1b6f387f | Zenodo | 2020-11-25,"[{'fullName': 'Olivier, Brett G.', 'name': 'Brett G.', 'surname': 'Olivier', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-5293-5321'}, 'provenance': None}}, {'fullName': 'Mendoza, Sebasti��n', 'name': 'Sebasti��n', 'surname': 'Mendoza', 'rank': 2, 'pid': None}, {'fullName': 'Molenaar, Douwe', 'name': 'Douwe', 'surname': 'Molenaar', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-7108-4545'}, 'provenance': None}}, {'fullName': 'Teusink, Bas', 'name': 'Bas', 'surname': 'Teusink', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-3929-0423'}, 'provenance': None}}]"
metadraft release: 0.9.5,MetaDraft Release: 0.9.5,doi_dedup___::3558f10b03b076b38a17421a5b347ab5 | Zenodo | 2020-11-25,"[{'fullName': 'Brett G. Olivier', 'name': 'Brett G.', 'surname': 'Brett G. Olivier', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-5293-5321'}, 'provenance': None}}, {'fullName': 'Sebastián Mendoza', 'name': None, 'surname': 'Sebastián Mendoza', 'rank': 2, 'pid': None}, {'fullName': 'Douwe Molenaar', 'name': None, 'surname': 'Douwe Molenaar', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-7108-4545'}, 'provenance': None}}, {'fullName': 'Bas Teusink', 'name': None, 'surname': 'Bas Teusink', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-3929-0423'}, 'provenance': None}}]"
,,,
